"Sector","Junta__nom","Presupuesto"
"K1","El Obispo","426908.57"
"K1","El Obispo Norte","282670.23"
"K1","El Obispo Poniente","311691.35"
"K1","Jesus M. Garza","208120.01"
"K1","Los Pinos I sector","155398.56"
"K1","Los pinos II sector","159588.7"
"K1","Lucio Blanco I sector","136886.9"
"K1","Lucio Blanco II sector","181652.19"
"K1","Lucio Blanco III sector","187724.38"
"K1","Luis Echeverria","211596.56"
"K1","Plan de Ayala","171660.7"
"K1","Revoluicion I sector","263555.17"
"K1","Revoluicion II sector","233865.23"
"K1","Revoluicion III sector","267619.09"
"K1","Revoluicion IV sector","235508.3"
"K1","Revoluicion V sector","139555.13"
"K1","San pedro 400 1er. sector","297599.56"
"K1","San pedro 400 2do. sector","264485.73"
"K1","San Pedro 400 3er. Sector","211730.3"
"K1","San Pedro 400 4to. sector","412340.3"
"K1","San Pedro 400 la Cima Oriente","240385.73"
"K1","San Pedro 400 la Cima Poniente","334989.31"
"K1","Unidad San Pedro","234188.17"
"K1","Valle del Seminario","302767.01"
"K1","Villas del Obispo","250436.48"
"K1","Villitas del Obispo","135270.65"
"K1","Vista Montaña I sector","286921.56"
"K1","Vista Montaña III sector","175875.3"
"K1","Vista Montaña Interes Social","175296.35"
"K1","Vista Montaña V sector","275740.4"
"K2","Bosques de San Pedro","202702.11"
"K2","Casco Norte","576473.17"
"K2","Casco Sur Oriente","560231.3"
"K2","Casco Sur Poniente","704468.37"
"K2","Dal Monte","190004.31"
"K2","Fraccionamiento Lázaro Garza Ayala","203540.38"
"K2","Hacienda El Rosario","333217.67"
"K2","Jardines Coloniales 1, 2 y 3","265765.62"
"K2","Jardines de Mirasierra","266458.1"
"K2","La Cima 1 y 2","334241.02"
"K2","La Cima 3","219256.03"
"K2","La Parvada","189949.37"
"K2","La Ventana","239772.12"
"K2","Las Sendas Galicia","317521.08"
"K2","Lázaro Garza Ayala","447073.82"
"K2","Lomas del Rosario","221305.41"
"K2","Los Sauces","406891.09"
"K2","Mirasierra","410641.56"
"K2","Nemesio García Naranjo","192890.95"
"K2","Palo Blanco","425563.56"
"K2","Palo Blanco El Edén","205638.67"
"K2","Palo Blanco Los Encinos","195285.72"
"K2","Pedregal del Valle","318688.83"
"K2","Prados de la Sierra","331033.53"
"K2","Rincón Colonial","216292.9"
"K2","Rincón de Corregidora","190963.26"
"K2","Rincón de San Francisco","239249.1"
"K2","San Francisco","183092.3"
"K2","Santa Elena","154054.45"
"K2","Valle de Vasconcelos","274092.03"
"K2","Valle del Mezquite","205894.42"
"K2","Villa Montaña","440861.16"
"K2","Villas del Pedregal","197528.18"
"K3","Balcones Del Valle","252314.18"
"K3","Barrancas Del Pedregal","245610.83"
"K3","Bosques Del Valle 1, 2 Y 3","643789.96"
"K3","Bosques Del Valle 4 y 5","326721.4"
"K3","Bosques Del Valle Ampliación 5to Sector","250303.18"
"K3","Capistrano","228852.45"
"K3","Colinas De La Sierra Madre","202039.04"
"K3","Colonial De La Sierra","369622.85"
"K3","Cortijo Del Valle","206061.05"
"K3","Del Valle Sector Fátima","307281.67"
"K3","Fraccionamiento Olímpico","204050.05"
"K3","Hacienda Del Valle","219467.76"
"K3","Jerónimo Siller","527821.97"
"K3","La Montaña","205390.72"
"K3","Lomas De Tampiquito","265050.55"
"K3","Lomas Del Valle Convento","217456.75"
"K3","Lomas Del Valle Oriente","562009.06"
"K3","Lomas Del Valle Poniente","519777.94"
"K3","Privada Rincon Del Carrizalejo","167181.61"
"K3","Privada Sierra Alta Y Nevada","187962"
"K3","Privada Sierra Madre","240918.48"
"K3","Privada Tamazunchale","177906.97"
"K3","Pro-Vivienda Popular","205390.72"
"K3","Rincón De La Montaña","228182.12"
"K3","Sierra Del Valle","222819.43"
"K3","Tampiquito","559998.06"
"K3","Valle De Chipinque Norte","252314.18"
"K3","Valle De Chipinque Sur","227511.78"
"K3","Villas De Terrasol","179247.64"
"K3","Villas Del Valle","204050.05"
"K4","Callejon de Capellanía Oriente","452225.84"
"K4","Callejón de Capellanía Poniente","365185.02"
"K4","Callejón de los Arizpe Oriente","445008.12"
"K4","Callejones Poniente","532375.92"
"K4","Centrito Valle","929420.35"
"K4","Del Valle","2149838.27"
"K4","Del Valle Oriente","676621.9"
"K4","Fuentes del Valle","1572784.88"
"K4","Jardines del Campestre","493009.87"
"K4","Jardines del Valle","471054.45"
"K4","Las Amapas","333239.58"
"K4","Los Arcángeles","371453.16"
"K4","Los Soles","387108.97"
"K4","Mirador del Campestre","338692.53"
"K4","Privada Río las Palmas","419919.66"
"K4","Privada Río Ramos","380519.61"
"K4","Privada Savotino","386339.05"
"K4","Residencial San Agustín 1er. Sector","584543.98"
"K4","Residencial San Agustín 2° Sector","543320.96"
"K4","Residencial San Carlos","397311.12"
"K4","Residencial San Francisco","416292.63"
"K4","Residencial Santa Bárbara","487432.48"
"K4","Santa Engracia","917488.77"
"K4","Valle de Santa Engracia","513510.78"
"K4","Valle Norte","487546.54"
"K4","Villas de Santa Engracia","394939.62"
"K4","Vista Real","523276.73"
"K5","Antiguo Camino a San Agustin","417577.37"
"K5","Bosques de San Angel Ampliacion Palmillas","182211.14"
"K5","Carrizalejo","129147.84"
"K5","Carrizalejo la Cañada","280817.31"
"K5","Colinas de San Agustin","83099.82"
"K5","Colinas de San Angel I","130717.93"
"K5","Colinas de San Angel II","130717.93"
"K5","Colorines","369947.86"
"K5","Comercial Alpino Chipinque","141393.95"
"K5","El Santuario","287035.36"
"K5","Jardines de San Agustin","274793.51"
"K5","Jolla de la corona","111104.37"
"K5","Joya del venado","294018.79"
"K5","Las Calzadas","390329.91"
"K5","Las Querenzas","165466.87"
"K5","Lomas de San Angel","94287.73"
"K5","Mesa de la Corona","165287.12"
"K5","Mision de San patricio","81765.15"
"K5","Montebello","428427.38"
"K5","Olinala","342781.98"
"K5","Residencial Chipinque I","261258.69"
"K5","Residencial Chipinque II","223686.98"
"K5","Residencial Chipinque III","291095.23"
"K5","San Agustin Campestre","441955.48"
"K5","San Patricio","818268.98"
"K5","Valle de San Angel 4 sectores","722590.76"
"K5","Valle de San Angel sec. Jardines","519690.51"
"K5","Valle del Campestre","714138.23"
"K5","Veredalta","416051.46"
"K5","Villa Chipinque","115924.88"
"K6","Ampliación Valle del Mirador","413449.73"
"K6","Antigua Hacienda San Agustín","239430.4"
"K6","Balcones de San Agustín","168939.55"
"K6","Balcones del Campestre","263188.95"
"K6","Canteras","295315.72"
"K6","Colonial San Agustín","292941.42"
"K6","El Refugio","177385.94"
"K6","El Secreto","135974.86"
"K6","Hacienda San Agustín","303784.85"
"K6","Haciendas de la Sierra","233893.87"
"K6","La Muralla","306467.5"
"K6","Lomas de San Agustín","243983.7"
"K6","Lomas del Campestre","596318.77"
"K6","Los Amates","176472.77"
"K6","Privada San Roberto","168242.42"
"K6","Privanza Alejandria","195615.06"
"K6","Privanza Alicante","137936.9"
"K6","Privanza Burdeos","150738.93"
"K6","Privanza Corcega","167826.55"
"K6","Privanza Fundadores","158144.98"
"K6","Privanza Marsella","175498.05"
"K6","Privanza Martinica","157616"
"K6","Privanza Monaco","184426.64"
"K6","Privanza Niza","155003.11"
"K6","Privanza Pamplona","177829.42"
"K6","Privanza Toledo","153400.56"
"K6","Privanza Venecia","189020.37"
"K6","Privanzas 3er Sector","158144.98"
"K6","Privanzas 4to Sector","363417.86"
"K6","Real del Valle","158694.13"
"K6","Real San Agustín","329145.51"
"K6","Residencial San Mateo","197467.39"
"K6","Residencial Santa Cruz","205728.39"
"K6","Residencial Santa Fe","182044.73"
"K6","Valle de San Agustín","250684.66"
